,timesteps,ep_reward,num_updates,episodes
63,37,-82.39193741831038,0,63
64,121,-196.51714913438954,0,64
65,71,-109.10162382833724,0,65
66,34,-56.96127979159907,0,66
67,33,-76.05736554051433,0,67
68,101,-171.51182234786893,0,68
69,27,-44.830753520730156,0,69
70,27,-50.43621883950299,0,70
71,89,-164.19723439683446,0,71
72,200,-377.92175753187615,1,72
73,31,-72.48171451525822,0,73
74,137,-222.48246827937683,0,74
75,36,-79.11789361046807,0,75
76,65,-105.21144367452264,0,76
77,25,-46.72635709148619,0,77
78,37,-82.91116184469925,0,78
79,66,-80.16316029016714,0,79
80,22,-41.91137619956004,0,80
81,168,-271.3960223435541,0,81
82,32,-62.07954166579348,0,82
83,21,-43.02149164075091,0,83
84,19,-35.667084793644676,0,84
85,26,-48.43532680869779,0,85
86,70,-108.47347231992781,0,86
87,200,-351.4994182910232,0,87
88,27,-38.78170926923554,0,88
89,59,-94.36838156482494,0,89
90,21,-35.841580718982414,0,90
91,38,-63.48404054368853,0,91
92,43,-72.39623568476866,0,92
93,34,-51.951733675316596,0,93
94,35,-72.1227742793724,0,94
95,136,-236.1753704731027,0,95
96,100,-200.30425823692045,0,96
97,24,-47.31194311883553,0,97
98,18,-31.06898538242207,0,98
99,59,-104.48379397804663,0,99
100,31,-63.31471445571319,0,100
101,15,-25.52495560794695,0,101
102,43,-82.61089851925897,0,102
103,22,-32.814410721708455,0,103
104,104,-203.6319357374294,0,104
105,58,-72.5787103025761,0,105
106,146,-255.1551741267166,0,106
107,26,-52.395107477381025,1,107
108,31,-51.344229941266285,0,108
109,17,-30.83968772214299,0,109
110,18,-28.96515971044775,0,110
111,22,-45.0342033181457,0,111
112,23,-37.91618061551555,0,112
113,200,-379.47192176334454,0,113
114,28,-58.05386025469635,0,114
115,200,-365.50906389833284,0,115
116,16,-27.61579314221192,0,116
117,200,-357.58970731734775,0,117
118,26,-44.39298070302839,0,118
119,200,-374.35626346259386,0,119
120,31,-59.1676575328282,0,120
121,31,-52.19377917350284,0,121
122,64,-114.84074012803757,0,122
123,23,-41.07363403881065,0,123
124,200,-373.14925101632014,0,124
125,24,-35.88632814957388,0,125
126,200,-358.17141796302303,0,126
127,22,-32.3214490567468,0,127
128,24,-48.680415639196355,0,128
129,18,-31.725493939192532,0,129
130,103,-189.33860501173697,0,130
131,22,-37.03971005856734,0,131
132,153,-263.6818766750227,0,132
133,22,-38.72383482091189,0,133
134,88,-170.835645444073,1,134
135,19,-30.92359206044698,0,135
136,18,-30.697345243314523,0,136
137,18,-33.81891622434229,0,137
138,17,-31.64496029099104,0,138
139,23,-45.2622809705639,0,139
140,20,-35.82740361409481,0,140
141,200,-365.815097547207,0,141
142,28,-58.594047048920004,0,142
143,200,-352.2080333604668,0,143
144,20,-34.932898385240776,0,144
145,16,-28.329526810959674,0,145
146,23,-37.27132695025543,0,146
147,20,-37.05419387774302,0,147
148,20,-37.284154131192636,0,148
149,200,-359.7562484622205,0,149
150,18,-28.33496292196709,0,150
151,22,-38.43672250906736,0,151
